date,Los Angeles Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Chicago Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,New York City Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Dallas Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Houston Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Los Angeles Count_Person,Chicago Count_Person,New York City Count_Person,Dallas Count_Person,Houston Count_Person,Los Angeles Count_Person_BelowPovertyLevelInThePast12Months,Chicago Count_Person_BelowPovertyLevelInThePast12Months,New York City Count_Person_BelowPovertyLevelInThePast12Months,Dallas Count_Person_BelowPovertyLevelInThePast12Months,Houston Count_Person_BelowPovertyLevelInThePast12Months,Los Angeles UnemploymentRate_Person,Chicago UnemploymentRate_Person,New York City UnemploymentRate_Person,Dallas UnemploymentRate_Person,Houston UnemploymentRate_Person,Los Angeles Median_Income_Household,Chicago Median_Income_Household,New York City Median_Income_Household,Dallas Median_Income_Household,Houston Median_Income_Household
1990,,,,,,3485499,2783660,7322564,1006646,1697873,,,,,,,,,,,,,,,
1991,,,,,,3490328,2785828,7322155,1011044,1707248,,,,,,,,,,,,,,,
1992,,,,,,3505382,2789787,7304481,1023231,1733420,,,,,,,,,,,,,,,
1993,,,,,,3544000,2792316,7304895,1030146,1756426,,,,,,,,,,,,,,,
1994,,,,,,3542751,2796631,7341300,1037998,1774143,,,,,,,,,,,,,,,
1995,,,,,,3534354,2801609,7349560,1040492,1779124,,,,,,,,,,,,,,,
1996,,,,,,3541941,2814008,7360622,1046851,1791508,,,,,,,,,,,,,,,
1997,,,,,,3564547,2808104,7382901,1059077,1807363,,,,,,,,,,,,,,,
1998,,,,,,3598002,2802798,7404140,1071633,1829098,,,,,,,,,,,,,,,
1999,,,,,,3633591,2799050,7428162,1076214,1845967,,,,,,,,,,,,,,,
2000,,,,,,3702574,2895723,8015209,1189674,1977408,,,,,,,,,,,,,,,
2001,,,,,,3739377,2895117,8043949,1202893,1994315,,,,,,,,,,,,,,,
2002,,,,,,3773847,2882813,8041950,1203699,2015621,,,,,,,,,,,,,,,
2003,,,,,,3797949,2870258,8023287,1202932,2019727,,,,,,,,,,,,,,,
2004,,,,,,3808394,2852263,7984440,1205260,2017358,,,,,,,,,,,,,,,
2005,,,,,,3809973,2829054,7939571,1211806,2021875,,,,,,,,,,,,,,,
2006,,,,,,3793867,2811768,7904335,1225737,2058724,,,,,,,,,,,,,,,
2007,,,,,,3794056,2817389,7908735,1236350,2065128,,,,,,,,,,,,,,,
2008,,,,,,3816542,2834556,7945783,1252932,2084441,,,,,,,,,,,,,,,
2009,,,,,,3843600,2854720,7991063,1280878,2118595,,,,,,,,,,,,,,,
2010,,,,,,3795206,2697480,8190105,1200360,2097647,,,,,,,,,,,,,,,
2011,,,,,,3818812,2708067,8272864,1218214,2123298,749747,567624,1549459,270480,442881,,,,,,50028,47371,51270,42259,44124
2012,770427,598780,1892301,220939,384308,3847857,2719039,8346715,1241950,2158700,790901,587807,1603360,280695,461058,,,,,,49745,47408,51865,42436,44648
2013,785880,613969,1945377,228823,397988,3877721,2725575,8396207,1258580,2196367,825131,601378,1653857,286669,480971,,,,,,49497,47270,52259,42846,45010
2014,808605,630715,2001395,234948,413578,3904102,2726800,8433867,1278737,2238653,850666,604568,1696394,294653,489035,,,,,,49682,47831,52737,43359,45728
2015,836112,648207,2068196,243144,432017,3933644,2724006,8463157,1300859,2283616,847382,594834,1710872,298348,491043,,,,,,50205,48522,53373,43781,46187
2016,858793,669666,2119525,253932,448711,3957520,2716297,8468954,1323587,2306360,828941,576291,1689759,288659,482777,,,,,,51538,50434,55191,45215,47010
2017,886870,694581,2191779,264022,465489,3975067,2710456,8437695,1342275,2313079,790320,550432,1648288,280699,472592,,,,,,54501,52497,57782,47285,49399
2018,914320,716118,2217245,275357,478845,3981140,2700968,8396614,1341692,2314478,741297,519525,1570754,267762,465519,,,,,,58385,55198,60762,50100,51140
2019,942465,740240,2261279,289022,494354,3982885,2691497,8342925,1343192,2315720,700951,488217,1485784,249307,456815,,,,,,62142,58247,63998,52580,52338
2020,986144,773555,2322211,304256,520712,3889834,2741730,8772978,1303234,2300027,658750,458353,1423230,239860,447326,,,,,,65290,62097,67046,54747,53600
2021,,,,,,3849297,2696555,8467513,1288457,2288250,,,,,,,,,,,,,,,
1976-01,,,,,,,,,,,,,,,,,,11.9,,,,,,,
1976-02,,,,,,,,,,,,,,,,,,11.8,,,,,,,
1976-03,,,,,,,,,,,,,,,,,,10.9,,,,,,,
1976-04,,,,,,,,,,,,,,,,,,10.5,,,,,,,
1976-05,,,,,,,,,,,,,,,,,,9.9,,,,,,,
1976-06,,,,,,,,,,,,,,,,,,11.2,,,,,,,
1976-07,,,,,,,,,,,,,,,,,,11.8,,,,,,,
1976-08,,,,,,,,,,,,,,,,,,11.5,,,,,,,
1976-09,,,,,,,,,,,,,,,,,,11.1,,,,,,,
1976-10,,,,,,,,,,,,,,,,,,11,,,,,,,
1976-11,,,,,,,,,,,,,,,,,,11.1,,,,,,,
1976-12,,,,,,,,,,,,,,,,,,10.6,,,,,,,
1977-01,,,,,,,,,,,,,,,,,,11.1,,,,,,,
1977-02,,,,,,,,,,,,,,,,,,11,,,,,,,
1977-03,,,,,,,,,,,,,,,,,,10.6,,,,,,,
1977-04,,,,,,,,,,,,,,,,,,9.6,,,,,,,
1977-05,,,,,,,,,,,,,,,,,,9.4,,,,,,,
1977-06,,,,,,,,,,,,,,,,,,10.2,,,,,,,
1977-07,,,,,,,,,,,,,,,,,,10.3,,,,,,,
1977-08,,,,,,,,,,,,,,,,,,10.3,,,,,,,
1977-09,,,,,,,,,,,,,,,,,,10.3,,,,,,,
1977-10,,,,,,,,,,,,,,,,,,10.1,,,,,,,
1977-11,,,,,,,,,,,,,,,,,,10.3,,,,,,,
1977-12,,,,,,,,,,,,,,,,,,9.2,,,,,,,
1978-01,,,,,,,,,,,,,,,,,,10,,,,,,,
1978-02,,,,,,,,,,,,,,,,,,9.7,,,,,,,
1978-03,,,,,,,,,,,,,,,,,,9.2,,,,,,,
1978-04,,,,,,,,,,,,,,,,,,8.6,,,,,,,
1978-05,,,,,,,,,,,,,,,,,,8.5,,,,,,,
1978-06,,,,,,,,,,,,,,,,,,8.7,,,,,,,
1978-07,,,,,,,,,,,,,,,,,,9.3,,,,,,,
1978-08,,,,,,,,,,,,,,,,,,8.8,,,,,,,
1978-09,,,,,,,,,,,,,,,,,,9,,,,,,,
1978-10,,,,,,,,,,,,,,,,,,8.9,,,,,,,
1978-11,,,,,,,,,,,,,,,,,,8.6,,,,,,,
1978-12,,,,,,,,,,,,,,,,,,8.3,,,,,,,
1979-01,,,,,,,,,,,,,,,,,,8.9,,,,,,,
1979-02,,,,,,,,,,,,,,,,,,8.9,,,,,,,
1979-03,,,,,,,,,,,,,,,,,,8.8,,,,,,,
1979-04,,,,,,,,,,,,,,,,,,8.2,,,,,,,
1979-05,,,,,,,,,,,,,,,,,,8.2,,,,,,,
1979-06,,,,,,,,,,,,,,,,,,8.8,,,,,,,
1979-07,,,,,,,,,,,,,,,,,,9,,,,,,,
1979-08,,,,,,,,,,,,,,,,,,9.1,,,,,,,
1979-09,,,,,,,,,,,,,,,,,,8.7,,,,,,,
1979-10,,,,,,,,,,,,,,,,,,8.7,,,,,,,
1979-11,,,,,,,,,,,,,,,,,,8.3,,,,,,,
1979-12,,,,,,,,,,,,,,,,,,7.8,,,,,,,
1980-01,,,,,,,,,,,,,,,,,,8.9,,,,,,,
1980-02,,,,,,,,,,,,,,,,,,8.7,,,,,,,
1980-03,,,,,,,,,,,,,,,,,,8.2,,,,,,,
1980-04,,,,,,,,,,,,,,,,,,8.2,,,,,,,
1980-05,,,,,,,,,,,,,,,,,,8.3,,,,,,,
1980-06,,,,,,,,,,,,,,,,,,8.2,,,,,,,
1980-07,,,,,,,,,,,,,,,,,,8.9,,,,,,,
1980-08,,,,,,,,,,,,,,,,,,8.6,,,,,,,
1980-09,,,,,,,,,,,,,,,,,,8.3,,,,,,,
1980-10,,,,,,,,,,,,,,,,,,8.6,,,,,,,
1980-11,,,,,,,,,,,,,,,,,,8.5,,,,,,,
1980-12,,,,,,,,,,,,,,,,,,8.1,,,,,,,
1981-01,,,,,,,,,,,,,,,,,,9.4,,,,,,,
1981-02,,,,,,,,,,,,,,,,,,9.3,,,,,,,
1981-03,,,,,,,,,,,,,,,,,,9.2,,,,,,,
1981-04,,,,,,,,,,,,,,,,,,8.5,,,,,,,
1981-05,,,,,,,,,,,,,,,,,,8.7,,,,,,,
1981-06,,,,,,,,,,,,,,,,,,8.7,,,,,,,
1981-07,,,,,,,,,,,,,,,,,,8.9,,,,,,,
1981-08,,,,,,,,,,,,,,,,,,8.5,,,,,,,
1981-09,,,,,,,,,,,,,,,,,,8.4,,,,,,,
1981-10,,,,,,,,,,,,,,,,,,8.9,,,,,,,
1981-11,,,,,,,,,,,,,,,,,,9,,,,,,,
1981-12,,,,,,,,,,,,,,,,,,9.1,,,,,,,
1982-01,,,,,,,,,,,,,,,,,,9.7,,,,,,,
1982-02,,,,,,,,,,,,,,,,,,9.5,,,,,,,
1982-03,,,,,,,,,,,,,,,,,,9.6,,,,,,,
1982-04,,,,,,,,,,,,,,,,,,9.2,,,,,,,
1982-05,,,,,,,,,,,,,,,,,,9.3,,,,,,,
1982-06,,,,,,,,,,,,,,,,,,9.6,,,,,,,
1982-07,,,,,,,,,,,,,,,,,,10,,,,,,,
1982-08,,,,,,,,,,,,,,,,,,9.8,,,,,,,
1982-09,,,,,,,,,,,,,,,,,,9.7,,,,,,,
1982-10,,,,,,,,,,,,,,,,,,10,,,,,,,
1982-11,,,,,,,,,,,,,,,,,,10.2,,,,,,,
1982-12,,,,,,,,,,,,,,,,,,10,,,,,,,
1983-01,,,,,,,,,,,,,,,,,,10.7,,,,,,,
1983-02,,,,,,,,,,,,,,,,,,10.5,,,,,,,
1983-03,,,,,,,,,,,,,,,,,,10.4,,,,,,,
1983-04,,,,,,,,,,,,,,,,,,9.7,,,,,,,
1983-05,,,,,,,,,,,,,,,,,,9.7,,,,,,,
1983-06,,,,,,,,,,,,,,,,,,10,,,,,,,
1983-07,,,,,,,,,,,,,,,,,,10.1,,,,,,,
1983-08,,,,,,,,,,,,,,,,,,10.1,,,,,,,
1983-09,,,,,,,,,,,,,,,,,,9.5,,,,,,,
1983-10,,,,,,,,,,,,,,,,,,9.4,,,,,,,
1983-11,,,,,,,,,,,,,,,,,,8.9,,,,,,,
1983-12,,,,,,,,,,,,,,,,,,8.7,,,,,,,
1984-01,,,,,,,,,,,,,,,,,,9.4,,,,,,,
1984-02,,,,,,,,,,,,,,,,,,9.2,,,,,,,
1984-03,,,,,,,,,,,,,,,,,,8.8,,,,,,,
1984-04,,,,,,,,,,,,,,,,,,8.4,,,,,,,
1984-05,,,,,,,,,,,,,,,,,,8.3,,,,,,,
1984-06,,,,,,,,,,,,,,,,,,8.8,,,,,,,
1984-07,,,,,,,,,,,,,,,,,,9.7,,,,,,,
1984-08,,,,,,,,,,,,,,,,,,9.5,,,,,,,
1984-09,,,,,,,,,,,,,,,,,,8.9,,,,,,,
1984-10,,,,,,,,,,,,,,,,,,9.1,,,,,,,
1984-11,,,,,,,,,,,,,,,,,,8.5,,,,,,,
1984-12,,,,,,,,,,,,,,,,,,8.2,,,,,,,
1985-01,,,,,,,,,,,,,,,,,,9.3,,,,,,,
1985-02,,,,,,,,,,,,,,,,,,9.1,,,,,,,
1985-03,,,,,,,,,,,,,,,,,,8.8,,,,,,,
1985-04,,,,,,,,,,,,,,,,,,8.3,,,,,,,
1985-05,,,,,,,,,,,,,,,,,,8.1,,,,,,,
1985-06,,,,,,,,,,,,,,,,,,7.9,,,,,,,
1985-07,,,,,,,,,,,,,,,,,,8,,,,,,,
1985-08,,,,,,,,,,,,,,,,,,7.7,,,,,,,
1985-09,,,,,,,,,,,,,,,,,,7.7,,,,,,,
1985-10,,,,,,,,,,,,,,,,,,7.9,,,,,,,
1985-11,,,,,,,,,,,,,,,,,,7.5,,,,,,,
1985-12,,,,,,,,,,,,,,,,,,7.3,,,,,,,
1986-01,,,,,,,,,,,,,,,,,,7.8,,,,,,,
1986-02,,,,,,,,,,,,,,,,,,8.3,,,,,,,
1986-03,,,,,,,,,,,,,,,,,,8,,,,,,,
1986-04,,,,,,,,,,,,,,,,,,7.8,,,,,,,
1986-05,,,,,,,,,,,,,,,,,,7.8,,,,,,,
1986-06,,,,,,,,,,,,,,,,,,7.5,,,,,,,
1986-07,,,,,,,,,,,,,,,,,,7.5,,,,,,,
1986-08,,,,,,,,,,,,,,,,,,7,,,,,,,
1986-09,,,,,,,,,,,,,,,,,,6.8,,,,,,,
1986-10,,,,,,,,,,,,,,,,,,6.8,,,,,,,
1986-11,,,,,,,,,,,,,,,,,,6.4,,,,,,,
1986-12,,,,,,,,,,,,,,,,,,5.9,,,,,,,
1987-01,,,,,,,,,,,,,,,,,,6.9,,,,,,,
1987-02,,,,,,,,,,,,,,,,,,6.4,,,,,,,
1987-03,,,,,,,,,,,,,,,,,,6,,,,,,,
1987-04,,,,,,,,,,,,,,,,,,5.3,,,,,,,
1987-05,,,,,,,,,,,,,,,,,,5.4,,,,,,,
1987-06,,,,,,,,,,,,,,,,,,5.5,,,,,,,
1987-07,,,,,,,,,,,,,,,,,,5.7,,,,,,,
1987-08,,,,,,,,,,,,,,,,,,5.2,,,,,,,
1987-09,,,,,,,,,,,,,,,,,,5,,,,,,,
1987-10,,,,,,,,,,,,,,,,,,5.5,,,,,,,
1987-11,,,,,,,,,,,,,,,,,,5.4,,,,,,,
1987-12,,,,,,,,,,,,,,,,,,4.8,,,,,,,
1988-01,,,,,,,,,,,,,,,,,,5.3,,,,,,,
1988-02,,,,,,,,,,,,,,,,,,4.9,,,,,,,
1988-03,,,,,,,,,,,,,,,,,,4.8,,,,,,,
1988-04,,,,,,,,,,,,,,,,,,4.3,,,,,,,
1988-05,,,,,,,,,,,,,,,,,,4.7,,,,,,,
1988-06,,,,,,,,,,,,,,,,,,4.7,,,,,,,
1988-07,,,,,,,,,,,,,,,,,,5.2,,,,,,,
1988-08,,,,,,,,,,,,,,,,,,5.3,,,,,,,
1988-09,,,,,,,,,,,,,,,,,,5.3,,,,,,,
1988-10,,,,,,,,,,,,,,,,,,5.5,,,,,,,
1988-11,,,,,,,,,,,,,,,,,,5.5,,,,,,,
1988-12,,,,,,,,,,,,,,,,,,5.5,,,,,,,
1989-01,,,,,,,,,,,,,,,,,,6.5,,,,,,,
1989-02,,,,,,,,,,,,,,,,,,6.3,,,,,,,
1989-03,,,,,,,,,,,,,,,,,,5.8,,,,,,,
1989-04,,,,,,,,,,,,,,,,,,6.2,,,,,,,
1989-05,,,,,,,,,,,,,,,,,,6.4,,,,,,,
1989-06,,,,,,,,,,,,,,,,,,6.4,,,,,,,
1989-07,,,,,,,,,,,,,,,,,,6.6,,,,,,,
1989-08,,,,,,,,,,,,,,,,,,6.5,,,,,,,
1989-09,,,,,,,,,,,,,,,,,,6.7,,,,,,,
1989-10,,,,,,,,,,,,,,,,,,6.7,,,,,,,
1989-11,,,,,,,,,,,,,,,,,,6.8,,,,,,,
1989-12,,,,,,,,,,,,,,,,,,6.5,,,,,,,
1990-01,,,,,,,,,,,,,,,,6.7,9.2,7.1,6,6.1,,,,,
1990-02,,,,,,,,,,,,,,,,6.4,8.8,7,6.1,6,,,,,
1990-03,,,,,,,,,,,,,,,,6.2,8.6,6.7,5.7,5.6,,,,,
1990-04,,,,,,,,,,,,,,,,6.2,9.3,6.4,6,5.7,,,,,
1990-05,,,,,,,,,,,,,,,,6.2,8.8,6.4,6.3,5.9,,,,,
1990-06,,,,,,,,,,,,,,,,6.1,9.1,6.1,6.6,6.3,,,,,
1990-07,,,,,,,,,,,,,,,,7,9.3,6.8,6.6,6.4,,,,,
1990-08,,,,,,,,,,,,,,,,7.1,9.4,6.7,6.5,6.4,,,,,
1990-09,,,,,,,,,,,,,,,,7.2,9.4,7.1,6.8,6.6,,,,,
1990-10,,,,,,,,,,,,,,,,7,8.7,7.3,6.2,6,,,,,
1990-11,,,,,,,,,,,,,,,,7.3,8.7,7.3,6.6,6.3,,,,,
1990-12,,,,,,,,,,,,,,,,7.4,8.6,7.2,6.4,6,,,,,
1991-01,,,,,,,,,,,,,,,,8.3,9.5,8.3,6.8,6.6,,,,,
1991-02,,,,,,,,,,,,,,,,8.6,9,8.5,7.1,6.5,,,,,
1991-03,,,,,,,,,,,,,,,,8.6,9.2,8.6,7.4,6.5,,,,,
1991-04,,,,,,,,,,,,,,,,8.4,9,8.3,7.2,6.3,,,,,
1991-05,,,,,,,,,,,,,,,,8.9,9.4,8.8,7.6,6.7,,,,,
1991-06,,,,,,,,,,,,,,,,9.2,10.1,8.8,8.1,7.3,,,,,
1991-07,,,,,,,,,,,,,,,,9.7,9.9,9,7.9,7.2,,,,,
1991-08,,,,,,,,,,,,,,,,9.5,10,9,7.9,7.2,,,,,
1991-09,,,,,,,,,,,,,,,,9.5,10.1,8.8,8,7.3,,,,,
1991-10,,,,,,,,,,,,,,,,9.3,10.5,9.1,7.9,7.1,,,,,
1991-11,,,,,,,,,,,,,,,,9.4,11,9.4,8,7.2,,,,,
1991-12,,,,,,,,,,,,,,,,9.5,11.2,9.5,7.9,7.2,,,,,
1992-01,,,,,,,,,,,,,,,,10.6,11.6,10.8,9,8.5,,,,,
1992-02,,,,,,,,,,,,,,,,10.7,11.3,11.1,9,8.3,,,,,
1992-03,,,,,,,,,,,,,,,,10.5,10.8,10.7,8.8,8.2,,,,,
1992-04,,,,,,,,,,,,,,,,10.1,10.7,10.2,8.4,7.9,,,,,
1992-05,,,,,,,,,,,,,,,,10.7,11.1,10.8,8.9,8.5,,,,,
1992-06,,,,,,,,,,,,,,,,11.5,11.7,11.5,9.7,9.6,,,,,
1992-07,,,,,,,,,,,,,,,,12,10.9,11.7,9,9.2,,,,,
1992-08,,,,,,,,,,,,,,,,11.8,10,11.5,8.6,9,,,,,
1992-09,,,,,,,,,,,,,,,,11.7,9.7,11.4,8.8,9.1,,,,,
1992-10,,,,,,,,,,,,,,,,11.2,8.9,11.2,8.1,8.5,,,,,
1992-11,,,,,,,,,,,,,,,,11.4,9.4,11.2,8.6,8.8,,,,,
1992-12,,,,,,,,,,,,,,,,11.2,9.6,11.1,8.1,8.5,,,,,
1993-01,,,,,,,,,,,,,,,,12,10.4,12.2,8.7,9.4,,,,,
1993-02,,,,,,,,,,,,,,,,12,10.3,11.7,8.6,9.4,,,,,
1993-03,,,,,,,,,,,,,,,,11.5,10.3,10.8,8,8.8,,,,,
1993-04,,,,,,,,,,,,,,,,11.1,10.5,10.2,7.7,8.7,,,,,
1993-05,,,,,,,,,,,,,,,,11,11,10.1,7.6,8.7,,,,,
1993-06,,,,,,,,,,,,,,,,11.4,11.5,10.2,8.3,9.8,,,,,
1993-07,,,,,,,,,,,,,,,,11.7,10.7,10.2,7.8,9.4,,,,,
1993-08,,,,,,,,,,,,,,,,11.2,10.3,9.9,7.5,9,,,,,
1993-09,,,,,,,,,,,,,,,,11.1,10.8,9.6,7.5,9,,,,,
1993-10,,,,,,,,,,,,,,,,11.2,10,10.1,7.4,8.9,,,,,
1993-11,,,,,,,,,,,,,,,,10.8,9.1,9.8,7.2,8.8,,,,,
1993-12,,,,,,,,,,,,,,,,10.4,8.6,9.6,6.6,8,,,,,
1994-01,,,,,,,,,,,,,,,,11.8,9.9,10.5,7.5,8.9,,,,,
1994-02,,,,,,,,,,,,,,,,11.4,9,10.1,7.6,8.8,,,,,
1994-03,,,,,,,,,,,,,,,,11.1,8.6,9.7,7.4,8.6,,,,,
1994-04,,,,,,,,,,,,,,,,10.8,8.3,9.2,6.9,8.2,,,,,
1994-05,,,,,,,,,,,,,,,,10.3,7.9,8.6,6.6,8,,,,,
1994-06,,,,,,,,,,,,,,,,10.6,8.3,8.7,7.3,8.8,,,,,
1994-07,,,,,,,,,,,,,,,,11.1,8.1,9,7,8.5,,,,,
1994-08,,,,,,,,,,,,,,,,10.7,7.7,8.6,6.7,8.2,,,,,
1994-09,,,,,,,,,,,,,,,,10.1,7.3,8,6.5,8,,,,,
1994-10,,,,,,,,,,,,,,,,9.5,7.5,8.1,6.1,7.4,,,,,
1994-11,,,,,,,,,,,,,,,,9.1,6.8,7.7,5.9,7.2,,,,,
1994-12,,,,,,,,,,,,,,,,8.6,6.2,7.1,5.4,6.6,,,,,
1995-01,,,,,,,,,,,,,,,,9.6,7.6,8.3,6.3,7.5,,,,,
1995-02,,,,,,,,,,,,,,,,9,7.1,8.1,5.9,6.9,,,,,
1995-03,,,,,,,,,,,,,,,,8.8,7.1,8.1,5.8,6.7,,,,,
1995-04,,,,,,,,,,,,,,,,8.9,7.9,8.2,6,7,,,,,
1995-05,,,,,,,,,,,,,,,,8.7,7.4,8.1,5.9,7,,,,,
1995-06,,,,,,,,,,,,,,,,9.1,7.5,8.1,6.6,7.8,,,,,
1995-07,,,,,,,,,,,,,,,,10,7.5,8.5,6.5,7.8,,,,,
1995-08,,,,,,,,,,,,,,,,9.7,7.5,8.4,6.4,7.6,,,,,
1995-09,,,,,,,,,,,,,,,,9.5,7.2,8.3,6.3,7.5,,,,,
1995-10,,,,,,,,,,,,,,,,9.2,6.8,8.2,6,6.9,,,,,
1995-11,,,,,,,,,,,,,,,,9.3,6.4,8.1,5.7,6.8,,,,,
1995-12,,,,,,,,,,,,,,,,8.9,6.5,8,5.4,6.5,,,,,
1996-01,,,,,,,,,,,,,,,,10.2,7.8,8.9,6.5,7.3,,,,,
1996-02,,,,,,,,,,,,,,,,9.7,7.2,8.8,5.7,6.8,,,,,
1996-03,,,,,,,,,,,,,,,,9.6,7.1,9,5.6,6.7,,,,,
1996-04,,,,,,,,,,,,,,,,9.4,7.5,8.6,5.3,6.5,,,,,
1996-05,,,,,,,,,,,,,,,,9.3,7.7,8.7,5.3,6.6,,,,,
1996-06,,,,,,,,,,,,,,,,9.2,7.8,8.4,5.6,7,,,,,
1996-07,,,,,,,,,,,,,,,,10.1,8,9.1,5.4,7,,,,,
1996-08,,,,,,,,,,,,,,,,9.1,7.4,8.5,5.2,6.5,,,,,
1996-09,,,,,,,,,,,,,,,,8.8,7,8.4,5.1,6.4,,,,,
1996-10,,,,,,,,,,,,,,,,8.6,6.8,8.7,4.9,6,,,,,
1996-11,,,,,,,,,,,,,,,,8.6,6.7,9,5.1,6.3,,,,,
1996-12,,,,,,,,,,,,,,,,8.1,6.7,9,4.7,6.1,,,,,
1997-01,,,,,,,,,,,,,,,,9,7.2,10.2,5.3,6.9,,,,,
1997-02,,,,,,,,,,,,,,,,8.6,7.1,10.1,5.5,6.8,,,,,
1997-03,,,,,,,,,,,,,,,,8.3,7,10,5.3,6.8,,,,,
1997-04,,,,,,,,,,,,,,,,7.7,6.8,9.6,4.7,6.2,,,,,
1997-05,,,,,,,,,,,,,,,,7.5,6.5,9.4,4.8,6.2,,,,,
1997-06,,,,,,,,,,,,,,,,7.9,7.1,9.7,5.4,7.1,,,,,
1997-07,,,,,,,,,,,,,,,,8.3,6.9,9.6,5.2,6.6,,,,,
1997-08,,,,,,,,,,,,,,,,7.9,6.7,9.3,5.1,6.2,,,,,
1997-09,,,,,,,,,,,,,,,,7.7,6.9,9,5,6.1,,,,,
